Пол;Возраст;Регион;Количество детей;Трудоустроен;Годовой доход;Отрасль
ж;57;Ростовская область;2;0;0;NULL
м;28;Краснодарский край;2;0;0;NULL
м;77;Ленинградская область;0;1;711100;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;52;Калининградская область;1;0;0;NULL
м;19;Республика Башкортостан;0;0;0;NULL
ж;80;Рязанская область;1;1;294144;Управление многопрофильными активами
ж;54;Челябинская область;1;0;0;NULL
ж;26;Белгородская область;0;1;56250;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;77;Республика Северная Осетия - Алания;2;1;1177544;Услуги для бизнеса
ж;71;Ямало - Ненецкий автономный округ;1;1;1984945;Образовательные учреждения
ж;15;Приморский край;2;1;3036636;Добывающая отрасль
ж;43;Иркутская область;2;1;913906;Общественная деятельность, партии, благотворительность, НКО
ж;59;Республика Тыва;1;0;0;NULL
ж;51;Свердловская область;2;0;0;NULL
ж;73;Омская область;0;0;0;NULL
ж;40;Приморский край;0;1;208544;ЖКХ
ж;57;Хабаровский край;0;0;0;NULL
ж;66;Саратовская область;1;0;0;NULL
ж;56;Республика Калмыкия;1;1;471646;Промышленное оборудование, техника, станки и комплектующие
м;30;Магаданская область;2;1;89154;Розничная торговля
м;28;Курганская область;2;0;0;NULL
ж;44;Ленинградская область;0;0;0;NULL
м;59;Тамбовская область;2;1;432754;Лесная промышленность, деревообработка
ж;79;Иркутская область;1;1;468675;Управление многопрофильными активами
м;46;Удмуртская Республика;2;0;0;NULL
м;83;Ямало - Ненецкий автономный округ;2;1;182091;Государственные организации
м;63;Чукотский автономный округ;1;1;105455;Нефть и газ
ж;51;Республика Саха(Якутия);1;1;272757;Телекоммуникации, связь
м;23;Республика Крым;2;0;0;NULL
м;30;Самарская область;1;0;0;NULL
м;59;Томская область;1;1;1884168;Химическое производство, удобрения
м;39;Республика Калмыкия;0;0;0;NULL
м;18;Архангельская область;1;1;937255;Тяжелое машиностроение
ж;73;Ненецкий автономный округ;2;1;185626;Сельское хозяйство
м;87;Смоленская область;0;0;0;NULL
ж;42;Кемеровская область;0;0;0;NULL
м;79;Пермский край;1;1;1590120;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;34;Саратовская область;2;1;2525952;Товары народного потребления (непищевые)
м;42;Пензенская область;2;0;0;NULL
м;65;Новосибирская область;2;1;230634;Лесная промышленность, деревообработка
м;56;Иркутская область;2;1;171872;Автомобильный бизнес
ж;58;Калужская область;0;1;463050;Перевозки, логистика, склад, ВЭД
ж;83;Республика Башкортостан;2;0;0;NULL
ж;85;Республика Хакасия;2;1;209650;Энергетика
ж;67;Московская область;2;0;0;NULL
ж;32;Республика Крым;1;0;0;NULL
м;57;Еврейская автономная область;1;0;0;NULL
ж;56;Кировская область;0;1;421582;Энергетика
ж;72;Удмуртская Республика;2;1;490536;Государственные организации
ж;83;Тюменская область;1;1;423522;Услуги для населения
ж;72;Республика Мордовия;0;0;0;NULL
м;72;Орловская область;1;0;0;NULL
м;69;Брянская область;1;0;0;NULL
ж;77;Томская область;1;0;0;NULL
м;18;Челябинская область;0;1;50864;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;68;Ивановская область;1;0;0;NULL
ж;81;Смоленская область;2;0;0;NULL
ж;69;Вологодская область;1;0;0;NULL
ж;51;Республика Адыгея(Адыгея);2;1;1511106;Финансовый сектор
м;29;Архангельская область;1;0;0;NULL
м;85;Тульская область;1;1;349634;Энергетика
м;83;Республика Татарстан(Татарстан);0;0;0;NULL
м;72;Челябинская область;0;1;22282;Лесная промышленность, деревообработка
м;37;Оренбургская область;0;0;0;NULL
ж;67;г.Москва;2;0;0;NULL
ж;55;Республика Карелия;1;0;0;NULL
ж;37;Астраханская область;0;1;448490;Нефть и газ
м;28;Красноярский край;1;1;1713927;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;59;Республика Алтай;2;0;0;NULL
м;18;Тульская область;0;0;0;NULL
ж;82;Владимирская область;1;1;85008;Товары народного потребления (непищевые)
м;54;Брянская область;1;1;50855;Общественная деятельность, партии, благотворительность, НКО
ж;61;Республика Мордовия;2;0;0;NULL
ж;31;Калужская область;2;1;143010;Информационные технологии, системная интеграция, интернет
м;30;Санкт - Петербург;0;1;61971;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;67;Иркутская область;2;0;0;NULL
ж;67;Калужская область;2;1;521334;Строительство, недвижимость, эксплуатация, проектирование
ж;74;Ростовская область;0;0;0;NULL
ж;59;Тверская область;2;1;269456;Управление многопрофильными активами
ж;15;Пермский край;0;0;0;NULL
ж;45;Ульяновская область;0;0;0;NULL
ж;33;Республика Калмыкия;1;0;0;NULL
ж;86;Республика Карелия;0;1;1048320;Искусство, культура
ж;85;Нижегородская область;1;1;1435309;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;20;Ульяновская область;2;0;0;NULL
ж;84;Чеченская Республика;1;1;229056;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;16;Еврейская автономная область;2;0;0;NULL
м;35;Красноярский край;2;1;107824;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;51;Иные территории, включая город и космодром Байконур;2;1;145704;Услуги для населения
м;87;Кировская область;2;1;951330;Тяжелое машиностроение
м;36;Оренбургская область;1;0;0;NULL
м;44;Республика Карелия;2;1;494020;Розничная торговля
ж;85;Тамбовская область;0;1;1885663;Финансовый сектор
м;17;Республика Хакасия;0;0;0;NULL
м;15;Тюменская область;1;1;232578;Добывающая отрасль
м;59;Ленинградская область;2;1;15476;Телекоммуникации, связь
ж;65;Ивановская область;1;0;0;NULL
м;60;Ростовская область;0;1;96819;Образовательные учреждения
ж;56;Амурская область;2;1;2957920;ЖКХ
м;69;Красноярский край;2;0;0;NULL
м;15;Томская область;1;0;0;NULL
м;14;Сахалинская область;1;1;880846;Услуги для бизнеса
м;86;Хабаровский край;0;1;213404;Автомобильный бизнес
ж;49;Липецкая область;1;0;0;NULL
ж;32;Пензенская область;1;1;523783;Финансовый сектор
м;31;Орловская область;2;1;92310;Розничная торговля
м;22;Владимирская область;0;0;0;NULL
ж;14;Воронежская область;2;1;241110;Государственные организации
м;37;Ленинградская область;2;0;0;NULL
м;35;Ивановская область;1;0;0;NULL
ж;51;Приморский край;2;0;0;NULL
м;20;Нижегородская область;0;1;2020923;Розничная торговля
ж;18;Тверская область;1;0;0;NULL
ж;71;Приморский край;0;0;0;NULL
ж;56;Республика Татарстан(Татарстан);1;1;851796;Финансовый сектор
ж;77;Воронежская область;0;0;0;NULL
ж;87;Республика Марий Эл;0;0;0;NULL
м;30;Республика Дагестан;2;0;0;NULL
ж;59;Камчатский край;2;0;0;NULL
ж;57;Тульская область;0;0;0;NULL
ж;41;Ивановская область;0;0;0;NULL
м;40;Саратовская область;0;0;0;NULL
ж;21;Приморский край;0;0;0;NULL
ж;70;Мурманская область;1;0;0;NULL
м;66;Липецкая область;0;1;1537179;Нефть и газ
ж;18;Нижегородская область;0;0;0;NULL
м;17;Ярославская область;1;0;0;NULL
ж;63;Мурманская область;0;0;0;NULL
ж;46;Республика Татарстан(Татарстан);2;1;11990;Металлургия, металлообработка
ж;73;Новгородская область;0;0;0;NULL
м;41;Республика Бурятия;0;1;534555;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;51;Кировская область;0;1;2532257;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;41;Санкт - Петербург;1;0;0;NULL
м;70;Сахалинская область;1;0;0;NULL
ж;26;Саратовская область;2;1;82360;Общественная деятельность, партии, благотворительность, НКО
ж;88;Республика Саха(Якутия);2;0;0;NULL
ж;33;Еврейская автономная область;1;1;1832670;Информационные технологии, системная интеграция, интернет
ж;48;Курганская область;1;1;804320;Искусство, культура
м;20;Республика Адыгея(Адыгея);0;1;1960381;Управление многопрофильными активами
м;66;Свердловская область;1;1;963326;Лесная промышленность, деревообработка
ж;16;Республика Марий Эл;1;1;421915;Управление многопрофильными активами
ж;75;Воронежская область;2;1;2615307;Добывающая отрасль
м;35;Курганская область;2;1;346101;Медицина, фармацевтика, аптеки
м;86;Республика Саха(Якутия);0;1;351540;Искусство, культура
м;17;Республика Башкортостан;1;0;0;NULL
м;63;Ульяновская область;2;1;1377648;Государственные организации
ж;85;Пермский край;2;0;0;NULL
ж;47;г.Москва;0;0;0;NULL
м;86;Республика Дагестан;0;0;0;NULL
ж;68;Приморский край;2;0;0;NULL
ж;58;Кабардино - Балкарская Республика;0;0;0;NULL
м;77;Санкт - Петербург;0;1;653109;Образовательные учреждения
м;61;Курская область;2;1;1824477;Общественная деятельность, партии, благотворительность, НКО
м;29;Республика Алтай;2;0;0;NULL
м;32;Республика Хакасия;2;1;1014220;Промышленное оборудование, техника, станки и комплектующие
м;16;Еврейская автономная область;1;0;0;NULL
м;86;Калужская область;2;1;496265;Автомобильный бизнес
ж;61;Тульская область;0;0;0;NULL
м;22;Ненецкий автономный округ;1;0;0;NULL
ж;70;Оренбургская область;0;1;2355969;Розничная торговля
м;50;Рязанская область;2;1;549154;Товары народного потребления (непищевые)
м;60;Костромская область;0;0;0;NULL
м;66;Камчатский край;0;0;0;NULL
м;70;Курская область;2;0;0;NULL
ж;63;Иркутская область;2;1;214893;Управление многопрофильными активами
м;25;Камчатский край;0;0;0;NULL
м;63;Новосибирская область;1;1;416640;Строительство, недвижимость, эксплуатация, проектирование
ж;72;Ханты - Мансийский автономный округ - Югра;1;1;274092;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
м;35;Краснодарский край;0;0;0;NULL
м;71;Республика Бурятия;1;0;0;NULL
м;88;Карачаево - Черкесская Республика;2;1;2186151;ЖКХ
ж;42;Пензенская область;1;0;0;NULL
ж;22;Республика Хакасия;1;0;0;NULL
ж;46;Республика Дагестан;0;1;1600976;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;62;Свердловская область;0;0;0;NULL
ж;68;Ленинградская область;1;1;802542;Услуги для бизнеса
м;21;Самарская область;0;1;25113;Химическое производство, удобрения
ж;23;Архангельская область;0;1;787698;Государственные организации
ж;64;Приморский край;2;1;172447;Энергетика
м;26;Костромская область;0;0;0;NULL
м;70;Ростовская область;1;0;0;NULL
м;59;Московская область;2;0;0;NULL
м;40;Ивановская область;1;1;1357200;Товары народного потребления (непищевые)
ж;65;Забайкальский край;2;0;0;NULL
м;21;Саратовская область;1;1;984126;ЖКХ
м;35;Белгородская область;2;0;0;NULL
м;82;Республика Алтай;2;1;281820;Строительство, недвижимость, эксплуатация, проектирование
ж;48;Томская область;0;0;0;NULL
м;63;Ульяновская область;2;1;620368;Медицина, фармацевтика, аптеки
ж;85;Республика Алтай;1;1;496860;Телекоммуникации, связь
м;60;Республика Карелия;2;0;0;NULL
м;74;Волгоградская область;2;1;758109;Общественная деятельность, партии, благотворительность, НКО
м;24;Алтайский край;0;1;511335;Государственные организации
м;87;Мурманская область;2;1;17424;Образовательные учреждения
м;68;Магаданская область;0;0;0;NULL
м;21;Белгородская область;1;1;577470;Услуги для населения
ж;86;Республика Хакасия;0;1;108042;Управление многопрофильными активами
ж;15;Курганская область;0;0;0;NULL
ж;69;Хабаровский край;2;0;0;NULL
м;57;Чеченская Республика;2;0;0;NULL
ж;55;Приморский край;2;0;0;NULL
м;38;Оренбургская область;2;1;892170;Промышленное оборудование, техника, станки и комплектующие
м;32;Омская область;2;1;558024;Промышленное оборудование, техника, станки и комплектующие
ж;86;Ивановская область;2;1;1657260;Финансовый сектор
ж;79;Республика Башкортостан;2;1;96712;Услуги для бизнеса
ж;43;Пензенская область;2;1;367644;Общественная деятельность, партии, благотворительность, НКО
м;69;Курская область;2;0;0;NULL
м;22;Чукотский автономный округ;0;1;94091;Искусство, культура
ж;23;Пермский край;0;0;0;NULL
м;48;Тюменская область;1;1;914082;Энергетика
м;65;Республика Крым;2;0;0;NULL
м;33;Тамбовская область;2;0;0;NULL
ж;64;Ненецкий автономный округ;1;0;0;NULL
м;48;Ивановская область;0;1;1757652;Продукты питания
ж;38;Краснодарский край;0;1;10112;Товары народного потребления (непищевые)
ж;80;Челябинская область;2;1;12691;Лесная промышленность, деревообработка
ж;31;Республика Коми;1;0;0;NULL
ж;80;Краснодарский край;0;0;0;NULL
ж;67;Севастополь;2;1;916635;Розничная торговля
ж;37;Санкт - Петербург;0;1;2523744;Розничная торговля
ж;57;Республика Алтай;0;0;0;NULL
ж;79;Смоленская область;2;0;0;NULL
ж;85;Кабардино - Балкарская Республика;1;0;0;NULL
ж;18;Иркутская область;2;1;213030;Информационные технологии, системная интеграция, интернет
ж;85;Белгородская область;0;0;0;NULL
ж;20;Забайкальский край;2;0;0;NULL
ж;68;Псковская область;1;0;0;NULL
м;20;Ханты - Мансийский автономный округ - Югра;1;1;276360;Добывающая отрасль
м;54;Архангельская область;1;0;0;NULL
ж;81;Республика Хакасия;0;1;820584;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;37;Иные территории, включая город и космодром Байконур;1;1;300955;Образовательные учреждения
м;67;Магаданская область;2;0;0;NULL
ж;46;Республика Бурятия;1;0;0;NULL
ж;88;Кемеровская область;0;1;1926386;Общественная деятельность, партии, благотворительность, НКО
ж;56;Амурская область;0;1;1295400;Медицина, фармацевтика, аптеки
ж;82;Псковская область;1;0;0;NULL
ж;20;Чувашская Республика - Чувашия;0;1;11220;Телекоммуникации, связь
ж;59;Ставропольский край;0;0;0;NULL
ж;15;Республика Калмыкия;2;1;669109;Телекоммуникации, связь
ж;57;Амурская область;2;1;226632;Управление многопрофильными активами
ж;47;Республика Мордовия;2;0;0;NULL
ж;29;Камчатский край;1;1;283325;Государственные организации
м;20;Республика Крым;1;0;0;NULL
ж;40;Карачаево - Черкесская Республика;2;0;0;NULL
ж;81;Республика Адыгея(Адыгея);2;0;0;NULL
ж;67;Московская область;2;1;594412;Химическое производство, удобрения
м;41;Смоленская область;1;0;0;NULL
м;29;Челябинская область;1;0;0;NULL
м;16;Смоленская область;0;1;28920;Услуги для бизнеса
м;20;Сахалинская область;1;1;1409420;Розничная торговля
м;54;Республика Коми;2;1;252879;Энергетика
м;35;Республика Мордовия;1;1;857181;Розничная торговля
ж;26;Рязанская область;2;1;1806495;Государственные организации
ж;83;Иные территории, включая город и космодром Байконур;1;0;0;NULL
ж;66;Пермский край;2;1;528352;Управление многопрофильными активами
ж;32;Республика Крым;1;1;1554333;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;27;Республика Башкортостан;1;0;0;NULL
ж;80;Ненецкий автономный округ;1;0;0;NULL
м;81;Карачаево - Черкесская Республика;2;0;0;NULL
м;65;Республика Адыгея(Адыгея);2;0;0;NULL
ж;81;Республика Коми;0;1;1858288;Товары народного потребления (непищевые)
м;82;Республика Коми;2;0;0;NULL
м;59;Тульская область;2;1;109520;Информационные технологии, системная интеграция, интернет
ж;48;Курская область;1;1;254368;Товары народного потребления (непищевые)
м;79;Ненецкий автономный округ;1;1;181494;Промышленное оборудование, техника, станки и комплектующие
ж;79;Калининградская область;2;0;0;NULL
ж;84;Республика Бурятия;2;1;103805;Информационные технологии, системная интеграция, интернет
м;73;Чувашская Республика - Чувашия;2;1;516516;Строительство, недвижимость, эксплуатация, проектирование
ж;59;Курская область;2;1;612820;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;24;Красноярский край;0;0;0;NULL
м;38;Приморский край;1;0;0;NULL
ж;27;Костромская область;2;1;1333877;Общественная деятельность, партии, благотворительность, НКО
м;36;Ненецкий автономный округ;2;0;0;NULL
ж;41;г.Москва;1;1;316521;Медицина, фармацевтика, аптеки
м;25;Свердловская область;1;0;0;NULL
ж;14;Саратовская область;2;1;882552;Услуги для бизнеса
м;48;Алтайский край;0;1;763371;Добывающая отрасль
м;49;Республика Адыгея(Адыгея);2;0;0;NULL
м;55;Иркутская область;0;1;1965141;Химическое производство, удобрения
м;80;г.Москва;2;1;587041;Телекоммуникации, связь
м;18;Тамбовская область;1;0;0;NULL
м;39;Самарская область;0;0;0;NULL
ж;48;Оренбургская область;0;0;0;NULL
ж;42;Ставропольский край;0;1;497882;Товары народного потребления (непищевые)
ж;46;Санкт - Петербург;1;1;415935;Перевозки, логистика, склад, ВЭД
ж;66;Ставропольский край;2;1;253065;Медицина, фармацевтика, аптеки
ж;22;Республика Карелия;1;1;1205960;Лесная промышленность, деревообработка
ж;84;Владимирская область;1;1;722250;Металлургия, металлообработка
м;70;Республика Калмыкия;0;1;190848;Общественная деятельность, партии, благотворительность, НКО
м;43;Ленинградская область;1;0;0;NULL
ж;76;Воронежская область;1;1;2837390;Информационные технологии, системная интеграция, интернет
ж;27;Смоленская область;2;1;147915;Энергетика
ж;86;Тюменская область;1;0;0;NULL
м;21;Тульская область;1;1;2292015;Лесная промышленность, деревообработка
м;82;Республика Крым;0;1;29880;Тяжелое машиностроение
м;80;Еврейская автономная область;0;0;0;NULL
м;86;Республика Калмыкия;1;1;888018;Сельское хозяйство
ж;66;Республика Саха(Якутия);2;0;0;NULL
ж;75;Чеченская Республика;1;0;0;NULL
ж;16;Ленинградская область;2;0;0;NULL
ж;43;Томская область;2;0;0;NULL
м;30;Ивановская область;1;1;904130;Управление многопрофильными активами
ж;38;Чукотский автономный округ;1;0;0;NULL
ж;42;Амурская область;2;0;0;NULL
м;45;Омская область;1;1;891552;Искусство, культура
ж;76;Нижегородская область;0;0;0;NULL
ж;70;Санкт - Петербург;0;1;890568;Гостинницы, рестораны, общепит, кейтеринг
м;65;Брянская область;2;1;1112976;Розничная торговля
м;55;Ставропольский край;0;0;0;NULL
м;79;Республика Хакасия;0;1;155720;Государственные организации
ж;30;Новгородская область;2;1;575107;Промышленное оборудование, техника, станки и комплектующие
м;62;Чукотский автономный округ;1;0;0;NULL
ж;86;Республика Адыгея(Адыгея);2;0;0;NULL
м;43;Новосибирская область;0;1;410865;Финансовый сектор
ж;40;Забайкальский край;1;1;18032;Информационные технологии, системная интеграция, интернет
ж;26;Приморский край;1;1;8224;Телекоммуникации, связь
ж;16;Рязанская область;2;1;66285;Медицина, фармацевтика, аптеки
ж;53;Рязанская область;1;1;1374700;Добывающая отрасль
ж;69;Республика Крым;0;1;806436;Продукты питания
м;40;Магаданская область;2;1;509964;Товары народного потребления (непищевые)
м;50;Калужская область;2;0;0;NULL
м;47;Забайкальский край;2;0;0;NULL
ж;17;Кемеровская область;2;0;0;NULL
м;73;Пензенская область;2;0;0;NULL
м;19;Чеченская Республика;0;0;0;NULL
м;77;Челябинская область;1;1;1230;Телекоммуникации, связь
м;79;Архангельская область;2;1;452277;Телекоммуникации, связь
м;71;Смоленская область;2;0;0;NULL
ж;24;Нижегородская область;0;0;0;NULL
м;74;Омская область;1;0;0;NULL
ж;19;Ставропольский край;1;0;0;NULL
м;38;Чеченская Республика;0;0;0;NULL
м;41;Санкт - Петербург;0;1;440160;Образовательные учреждения
м;29;Республика Марий Эл;0;1;1086822;Образовательные учреждения
ж;63;Еврейская автономная область;1;0;0;NULL
м;70;Ивановская область;0;1;239400;Нефть и газ
ж;15;Ханты - Мансийский автономный округ - Югра;0;1;453888;Тяжелое машиностроение
м;57;Сахалинская область;2;0;0;NULL
ж;15;Республика Коми;1;0;0;NULL
ж;51;Кировская область;2;1;1768600;Лесная промышленность, деревообработка
ж;42;Республика Калмыкия;0;1;248544;Сельское хозяйство
ж;31;Забайкальский край;2;1;1345488;Управление многопрофильными активами
ж;72;Рязанская область;2;0;0;NULL
ж;75;Нижегородская область;2;1;1316994;Государственные организации
м;17;Смоленская область;1;0;0;NULL
м;17;Ивановская область;2;1;158643;Нефть и газ
м;62;Еврейская автономная область;0;0;0;NULL
ж;74;Новосибирская область;1;0;0;NULL
м;71;Республика Татарстан(Татарстан);0;1;357340;Сельское хозяйство
м;52;Чеченская Республика;1;1;545769;Сельское хозяйство
м;46;Республика Адыгея(Адыгея);2;0;0;NULL
ж;25;Республика Коми;1;1;206970;Сельское хозяйство
ж;81;г.Москва;0;1;1319372;Товары народного потребления (непищевые)
м;65;Владимирская область;0;1;245431;Услуги для населения
м;64;Самарская область;1;0;0;NULL
м;18;Севастополь;0;1;137232;Медицина, фармацевтика, аптеки
м;70;Камчатский край;2;0;0;NULL
ж;30;Курская область;2;1;930150;Строительство, недвижимость, эксплуатация, проектирование
ж;22;Брянская область;1;1;342755;Общественная деятельность, партии, благотворительность, НКО
м;87;Ненецкий автономный округ;0;0;0;NULL
м;73;Воронежская область;0;1;918720;Медицина, фармацевтика, аптеки
м;75;Костромская область;1;1;287112;Общественная деятельность, партии, благотворительность, НКО
м;40;Иркутская область;0;1;131131;Химическое производство, удобрения
м;82;Республика Марий Эл;2;0;0;NULL
ж;20;Республика Карелия;1;0;0;NULL
м;53;Ямало - Ненецкий автономный округ;0;0;0;NULL
м;23;Республика Тыва;1;1;345268;Услуги для бизнеса
ж;79;Чеченская Республика;0;1;26790;Телекоммуникации, связь
м;60;Еврейская автономная область;0;0;0;NULL
ж;22;Республика Адыгея(Адыгея);1;0;0;NULL
м;34;Тверская область;1;1;1252534;Продукты питания
ж;30;Республика Татарстан(Татарстан);0;1;1760986;Общественная деятельность, партии, благотворительность, НКО
ж;40;Краснодарский край;2;1;343896;Управление многопрофильными активами
м;58;Республика Алтай;1;1;266594;Управление многопрофильными активами
м;82;Республика Ингушетия;0;0;0;NULL
ж;73;Орловская область;1;1;701424;Услуги для населения
ж;37;Республика Татарстан(Татарстан);2;0;0;NULL
м;69;Челябинская область;0;0;0;NULL
ж;69;Кабардино - Балкарская Республика;2;0;0;NULL
ж;69;Республика Хакасия;0;0;0;NULL
ж;26;Ростовская область;2;1;864654;Продукты питания
м;64;Рязанская область;1;0;0;NULL
м;52;Вологодская область;1;0;0;NULL
м;20;Санкт - Петербург;1;0;0;NULL
ж;56;Республика Адыгея(Адыгея);0;1;393075;Товары народного потребления (непищевые)
ж;69;Севастополь;0;1;666540;Финансовый сектор
ж;29;Омская область;0;1;1635414;Финансовый сектор
ж;60;Липецкая область;1;0;0;NULL
ж;19;Свердловская область;2;1;1108458;Образовательные учреждения
м;23;Владимирская область;1;0;0;NULL
ж;71;Мурманская область;2;1;319032;Государственные организации
м;60;Республика Саха(Якутия);1;1;947205;Энергетика
ж;35;Воронежская область;2;1;363237;Энергетика
м;14;Республика Хакасия;1;0;0;NULL
ж;33;Псковская область;2;1;100424;Энергетика
м;24;Магаданская область;0;1;132526;Медицина, фармацевтика, аптеки
м;66;Смоленская область;0;0;0;NULL
ж;64;Ямало - Ненецкий автономный округ;2;0;0;NULL
ж;43;Республика Марий Эл;2;1;38793;Финансовый сектор
ж;40;Владимирская область;1;0;0;NULL
ж;52;Республика Алтай;1;1;403039;Образовательные учреждения
м;54;Камчатский край;2;0;0;NULL
ж;71;Приморский край;0;0;0;NULL
ж;26;Чувашская Республика - Чувашия;0;0;0;NULL
ж;49;Пензенская область;1;0;0;NULL
ж;59;Красноярский край;0;1;2214450;Государственные организации
ж;34;Карачаево - Черкесская Республика;1;1;211016;Сельское хозяйство
ж;32;Сахалинская область;0;0;0;NULL
ж;78;Воронежская область;1;1;11060;Финансовый сектор
ж;24;Псковская область;1;0;0;NULL
м;55;Республика Карелия;0;1;220255;Энергетика
м;88;Кабардино - Балкарская Республика;1;1;1756944;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;53;Тюменская область;2;1;975280;ЖКХ
ж;61;Воронежская область;2;1;575184;Промышленное оборудование, техника, станки и комплектующие
м;40;Волгоградская область;2;0;0;NULL
м;41;Ямало - Ненецкий автономный округ;2;0;0;NULL
ж;70;Еврейская автономная область;0;1;785260;Химическое производство, удобрения
м;32;Санкт - Петербург;2;0;0;NULL
м;45;Пермский край;2;1;12800;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;73;Калужская область;2;1;84220;Искусство, культура
м;48;Иркутская область;0;0;0;NULL
ж;54;Республика Коми;2;1;576072;Образовательные учреждения
м;50;Приморский край;1;1;2094038;Металлургия, металлообработка
м;53;Республика Саха(Якутия);0;0;0;NULL
ж;59;Ленинградская область;0;0;0;NULL
м;81;Красноярский край;0;0;0;NULL
ж;83;Чукотский автономный округ;2;1;202745;Лесная промышленность, деревообработка
м;48;Томская область;2;0;0;NULL
ж;82;Севастополь;2;0;0;NULL
ж;70;Удмуртская Республика;0;0;0;NULL
м;88;Хабаровский край;2;1;288408;Розничная торговля
ж;63;Ямало - Ненецкий автономный округ;1;0;0;NULL
м;78;Кировская область;2;1;19533;Металлургия, металлообработка
м;30;Псковская область;0;0;0;NULL
м;78;Магаданская область;1;0;0;NULL
м;83;Амурская область;0;1;461714;Металлургия, металлообработка
ж;40;Псковская область;0;0;0;NULL
ж;51;Псковская область;0;1;198744;Промышленное оборудование, техника, станки и комплектующие
ж;70;Архангельская область;0;1;240660;Общественная деятельность, партии, благотворительность, НКО
м;34;Сахалинская область;1;0;0;NULL
м;21;Удмуртская Республика;0;1;312182;Услуги для населения
м;42;Брянская область;2;1;70208;Гостинницы, рестораны, общепит, кейтеринг
ж;28;Тюменская область;2;1;1777775;Финансовый сектор
ж;63;Республика Тыва;1;0;0;NULL
м;75;Республика Алтай;0;0;0;NULL
ж;73;Республика Саха(Якутия);1;1;2234775;Общественная деятельность, партии, благотворительность, НКО
м;69;Воронежская область;0;1;5388;ЖКХ
м;80;Воронежская область;0;1;37150;Информационные технологии, системная интеграция, интернет
м;27;Липецкая область;0;0;0;NULL
ж;80;Кировская область;2;0;0;NULL
м;86;Мурманская область;2;0;0;NULL
ж;60;г.Москва;2;1;129880;Государственные организации
м;41;Иные территории, включая город и космодром Байконур;1;0;0;NULL
м;74;Санкт - Петербург;2;0;0;NULL
ж;24;Республика Крым;2;0;0;NULL
ж;84;Вологодская область;0;1;1073019;Тяжелое машиностроение
ж;42;Псковская область;0;0;0;NULL
ж;55;Пензенская область;1;0;0;NULL
ж;79;Тульская область;2;0;0;NULL
м;57;Пензенская область;0;0;0;NULL
ж;77;Воронежская область;2;1;2330030;Искусство, культура
ж;62;Тверская область;2;1;890661;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;74;Воронежская область;2;1;255584;Перевозки, логистика, склад, ВЭД
ж;54;Саратовская область;2;1;678744;Управление многопрофильными активами
м;69;Свердловская область;2;1;339564;Финансовый сектор
ж;70;Астраханская область;0;0;0;NULL
м;46;Республика Хакасия;1;0;0;NULL
ж;85;Республика Калмыкия;1;0;0;NULL
ж;30;Мурманская область;0;0;0;NULL
м;47;Республика Калмыкия;0;1;1229492;Добывающая отрасль
м;62;Волгоградская область;0;1;142956;Металлургия, металлообработка
м;61;Республика Марий Эл;1;0;0;NULL
м;42;Удмуртская Республика;1;1;692054;Тяжелое машиностроение
ж;43;Камчатский край;1;1;1573610;Общественная деятельность, партии, благотворительность, НКО
ж;46;Республика Калмыкия;1;1;241960;Услуги для бизнеса
ж;67;Хабаровский край;0;0;0;NULL
ж;88;Кировская область;1;0;0;NULL
ж;78;Московская область;1;1;619223;Телекоммуникации, связь
ж;85;Новгородская область;0;1;926695;Промышленное оборудование, техника, станки и комплектующие
ж;62;Ивановская область;2;0;0;NULL
м;82;Республика Татарстан(Татарстан);1;1;483771;Информационные технологии, системная интеграция, интернет
ж;70;Камчатский край;1;0;0;NULL
ж;55;Волгоградская область;2;1;2281158;Розничная торговля
ж;15;Самарская область;0;0;0;NULL
ж;57;Иные территории, включая город и космодром Байконур;2;1;948325;Услуги для населения
ж;87;Республика Хакасия;0;1;1021839;Искусство, культура
ж;64;Иркутская область;1;0;0;NULL
ж;29;Кемеровская область;1;1;1333740;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;31;Санкт - Петербург;1;0;0;NULL
